id,investor_email,startup_id,amount,created_at
38,pavanibanik978@gmail.com,557,132278.94,2021-04-04
39,champakchoudhry207@gmail.com,1859,148215.98,2020-11-15
40,garimasolanki717@gmail.com,36,94889.16,2020-08-03
41,udantsridhar37@gmail.com,3037,166380.71,2024-03-22
42,tarakkohli549@gmail.com,2024,211270.26,2020-02-16
43,tanvilad984@gmail.com,1392,20729.06,2024-02-16
44,yashodagrover258@gmail.com,2096,173971.82,2021-06-05
45,ronithsani531@gmail.com,959,224594.79,2023-09-12
46,lakshgarg225@gmail.com,478,116791.98,2021-12-30
47,yatinmukherjee680@gmail.com,2168,206056.05,2022-07-19
48,quincymitra772@gmail.com,1866,375172.36,2023-05-13
49,wishiyogi311@gmail.com,2714,141652.58,2023-10-08
50,charitakumar535@gmail.com,2262,181464.56,2023-12-06
51,triveniarya300@gmail.com,2844,90955.43,2023-10-10
52,williamlata549@gmail.com,773,164500.09,2023-05-19
53,yochanahora821@gmail.com,3416,186821.73,2020-11-30
54,kashvikaul172@gmail.com,2105,165587.39,2024-10-13
55,jasond’alia969@gmail.com,306,68424.37,2023-07-11
56,zashilroy868@gmail.com,2995,166508.94,2022-11-20
57,yaminizachariah261@gmail.com,168,266975.68,2021-09-12
58,girindrasandal53@gmail.com,2581,185890.86,2020-07-22
59,anjalilall796@gmail.com,3793,226958.98,2023-04-22
60,fariqperi625@gmail.com,2162,131039.04,2021-11-03
61,balhaarshah66@gmail.com,3501,209992.02,2023-04-26
62,xaviermahajan894@gmail.com,290,172341.43,2022-12-07
63,yahvibora302@gmail.com,1149,73927.14,2023-04-12
64,saihayre111@gmail.com,2850,175481.68,2023-03-07
65,vrindade796@gmail.com,1110,70664.27,2023-08-12
66,frederickdhaliwal953@gmail.com,868,99369.58,2021-05-07
67,balendrathaman814@gmail.com,1866,165146.26,2020-07-14
68,aachalmemon818@gmail.com,1301,173779.54,2023-04-19
69,niharikarattan554@gmail.com,2994,54861.4,2021-06-21
70,nachiketchoudhary88@gmail.com,3961,234318.86,2021-04-15
71,tarakdas853@gmail.com,780,195760.5,2021-09-02
72,deepaandra728@gmail.com,3260,93621.73,2021-07-12
73,michaelshere809@gmail.com,509,26993.22,2024-04-28
74,gavinbose933@gmail.com,2070,138407.63,2020-12-30
75,aishanitripathi869@gmail.com,3034,114324.5,2022-01-13
76,saanvibera573@gmail.com,2639,159051.24,2020-07-29
77,wazirbava301@gmail.com,3227,120950.67,2021-07-26
78,chakradevmani747@gmail.com,2187,10596.55,2022-03-29
79,vyanjanasavant139@gmail.com,2824,118932.24,2021-05-27
80,oshachakrabarti691@gmail.com,3247,125550.47,2020-10-19
81,lakshgour72@gmail.com,2401,200692.88,2021-06-20
82,rakshasahota750@gmail.com,2056,94144.03,2021-05-05
83,nilimachar932@gmail.com,2834,284293.97,2024-03-21
84,nilimakari379@gmail.com,3853,2931.24,2023-08-10
85,nakulshan622@gmail.com,36,254893.4,2024-02-17
86,yuvrajdass710@gmail.com,2124,132054.48,2022-06-15
87,jacobmishra290@gmail.com,2156,218766.79,2022-07-06
88,oeshideep775@gmail.com,2728,156384.12,2021-04-05
89,bachittarben121@gmail.com,2522,241164.44,2021-07-31
90,yashawinisaran754@gmail.com,2826,119011.04,2021-12-18
91,ayushmanbabu376@gmail.com,3949,62110.37,2022-03-10
92,forumkari903@gmail.com,3843,263640.34,2020-10-03
93,eiravatibala98@gmail.com,978,140921.55,2023-07-14
94,suhaniswaminathan316@gmail.com,3730,167724.68,2022-12-28
95,sakshamprabhakar331@gmail.com,1108,248780.15,2020-06-12
96,priyakhosla857@gmail.com,2943,67443.58,2023-02-21
97,chakradharjain625@gmail.com,164,197639.27,2024-01-24
98,wahabde775@gmail.com,480,102808.42,2023-07-25
99,wrideshchandran861@gmail.com,2302,139426.45,2020-04-13
100,falakagarwal339@gmail.com,2275,155782.32,2022-12-31
101,teerthkade378@gmail.com,3419,29982.25,2022-02-05
102,yochanachander698@gmail.com,2128,87693.04,2021-12-22
103,madhavimukherjee861@gmail.com,1234,258085.83,2020-05-24
104,yashdhar807@gmail.com,3180,220895.3,2021-02-26
105,aadhyaparikh894@gmail.com,3996,144988.83,2021-01-31
106,arunimasangha435@gmail.com,2650,169449.88,2020-11-19
107,edhithanatt268@gmail.com,511,126460.6,2021-02-08
108,aadhyakamdar188@gmail.com,3267,258526.67,2022-06-13
109,mohiniamble610@gmail.com,1799,133971.79,2021-10-15
110,wahabtella97@gmail.com,1299,168547.37,2022-05-06
111,lohitdara958@gmail.com,266,241682.41,2022-07-31
112,ridhiprakash181@gmail.com,2647,87810.28,2023-10-22
113,vanshasaini578@gmail.com,3968,274703.13,2021-06-12
114,udarshvora464@gmail.com,692,27563.09,2022-04-01
115,georgeacharya425@gmail.com,3024,280371.37,2020-03-06
116,janakigrewal899@gmail.com,2582,120185.95,2023-07-16
117,jananiparekh776@gmail.com,3788,130584.1,2024-07-16
118,joshuadate628@gmail.com,2338,1200.81,2024-11-17
119,hardikraghavan987@gmail.com,3314,113616.42,2024-02-24
120,jacobarora467@gmail.com,1079,66815.48,2022-11-27
121,calebshanker22@gmail.com,674,101388.29,2020-02-25
122,patrickgola945@gmail.com,1461,139015.12,2022-12-08
123,matthewkala492@gmail.com,1082,226623.33,2022-07-21
124,vrindawason687@gmail.com,2837,166608.27,2023-08-01
125,gunbirrajagopalan442@gmail.com,1,174614.13,2023-01-10
126,labanmann848@gmail.com,1177,62358.45,2024-08-21
127,qasimbhalla766@gmail.com,299,79539.67,2023-11-06
128,urishillakar210@gmail.com,529,293898.0,2021-08-10
129,calebdara303@gmail.com,1117,91183.92,2022-09-26
130,yadavidhillon867@gmail.com,2275,282496.66,2021-08-14
131,teerthacharya523@gmail.com,222,130555.1,2020-02-07
132,chaitalymaharaj999@gmail.com,3252,150183.03,2024-03-20
133,lohitchowdhury159@gmail.com,3476,235629.21,2021-11-21
134,shivanshgrover973@gmail.com,67,251751.39,2022-08-09
135,nachiketlata636@gmail.com,3279,141135.0,2021-01-28
136,indalirastogi237@gmail.com,787,118940.56,2021-11-02
137,jagvideshpande69@gmail.com,734,145526.36,2021-06-07
138,harshilsha366@gmail.com,3965,177036.6,2021-05-30
139,ishitabarad53@gmail.com,617,221304.29,2023-04-10
140,rachananaidu363@gmail.com,3007,150338.39,2021-11-27
141,vihaancontractor619@gmail.com,1924,199510.9,2024-06-30
142,rachitadhawan803@gmail.com,1883,281068.78,2023-01-26
143,sarthakjoshi632@gmail.com,2610,180504.77,2020-08-20
144,trivenimangat642@gmail.com,2289,174932.23,2024-04-05
145,idikabakshi521@gmail.com,32,28487.13,2020-04-23
146,harinakshimody23@gmail.com,1044,60458.41,2020-10-09
147,ekbalnori601@gmail.com,686,181070.06,2024-10-27
148,falguniagarwal598@gmail.com,684,142414.06,2022-01-25
149,waidabawa236@gmail.com,533,108817.39,2024-08-15
150,hemasani70@gmail.com,3805,169482.42,2022-04-03
151,praneelraja967@gmail.com,2972,145167.7,2022-10-10
152,aradhanakala496@gmail.com,1321,240222.42,2020-06-08
153,yashasvioak498@gmail.com,1610,156888.87,2024-01-09
154,oscarsaxena496@gmail.com,3902,90246.14,2022-04-14
155,jananibutala693@gmail.com,8,229213.3,2021-05-12
156,vrishtisant504@gmail.com,313,132629.51,2022-10-11
157,hiralgandhi168@gmail.com,613,192122.93,2020-08-24
158,saumyatailor909@gmail.com,413,111807.14,2022-05-21
159,upkaarsrinivasan762@gmail.com,2817,98013.85,2021-09-13
160,baghyawatibajaj659@gmail.com,3072,156733.46,2024-07-19
161,hemangnair818@gmail.com,698,151026.29,2020-05-16
162,vrindade796@gmail.com,3013,188386.16,2023-10-12
163,baghyawatidatta773@gmail.com,1568,128508.34,2020-05-17
164,fradosant928@gmail.com,3599,3091.22,2022-06-26
165,jacksonsom829@gmail.com,165,115378.09,2020-01-06
166,irabala520@gmail.com,3737,213505.48,2020-01-16
167,mohammedganguly903@gmail.com,1225,126209.91,2020-04-26
168,urmigarg195@gmail.com,2185,130289.33,2024-01-23
169,fariqnatt654@gmail.com,769,228910.12,2024-04-27
170,upasnadora319@gmail.com,3655,93042.14,2023-03-09
171,pranitgulati142@gmail.com,1774,26575.74,2023-10-21
172,sanyabrahmbhatt3@gmail.com,2784,137149.51,2022-04-13
173,onimaharaj202@gmail.com,1622,111266.08,2024-04-11
174,agastyajani255@gmail.com,1605,72700.29,2020-03-05
175,umanggupta71@gmail.com,3776,135969.72,2023-06-11
176,divyawali434@gmail.com,1383,189320.45,2023-11-21
177,qabilbhatt445@gmail.com,2251,149256.92,2022-11-01
178,yahvivirk284@gmail.com,2878,174558.49,2021-02-11
179,dalbirkakar651@gmail.com,1938,295072.62,2024-11-24
180,charvinayak918@gmail.com,3583,122569.69,2020-04-03
181,indalimerchant192@gmail.com,1354,172267.89,2023-07-12
182,rachanasani377@gmail.com,2296,109262.93,2021-07-10
183,udantsandal212@gmail.com,854,82291.22,2022-10-20
184,noahbehl353@gmail.com,2579,103207.39,2023-03-11
185,mahikabarad337@gmail.com,3923,111699.31,2021-04-28
186,upkaarthakur407@gmail.com,487,178758.06,2022-08-11
187,jacobhans758@gmail.com,41,337926.06,2021-05-31
188,abeerkaran477@gmail.com,342,92716.53,2021-12-19
189,mohininatt653@gmail.com,2437,116669.98,2020-10-10
190,manbirahluwalia167@gmail.com,461,144950.16,2020-10-12
191,wyattchowdhury290@gmail.com,493,181663.91,2021-05-21
192,yashloke828@gmail.com,3345,171084.06,2023-12-10
193,brindaverma997@gmail.com,3294,252727.66,2022-10-28
194,gauriparsa110@gmail.com,2019,44111.37,2024-12-04
195,oshachakrabarti691@gmail.com,3269,40954.39,2021-06-02
196,yatankorpal852@gmail.com,581,110329.75,2024-09-07
197,onikothari256@gmail.com,148,237784.02,2023-01-14
198,aarnavraju21@gmail.com,2903,24748.16,2021-06-27
199,ojasvidugar412@gmail.com,3349,90610.59,2024-06-08
200,krishachand941@gmail.com,1724,195694.35,2022-11-25
201,ojasdesai367@gmail.com,2962,169492.58,2023-03-10
202,indalibarman978@gmail.com,255,62783.33,2020-04-15
203,mitalipillai152@gmail.com,2374,71156.83,2024-11-10
204,oeshisehgal433@gmail.com,2055,72420.5,2024-12-07
205,vamakshiprakash635@gmail.com,3902,158842.83,2023-07-09
206,sanyaparmer16@gmail.com,1770,99894.78,2021-10-28
207,bahadurjitdasgupta826@gmail.com,1962,189525.11,2024-04-14
208,amairaraja17@gmail.com,806,78370.13,2021-02-05
209,qasimbhalla766@gmail.com,1112,81451.85,2023-08-24
210,chakradharsandal872@gmail.com,1520,59915.68,2023-04-16
211,veersachdev604@gmail.com,2788,129492.75,2021-05-28
212,quincymitra772@gmail.com,3053,106956.18,2023-12-05
213,jagdishgoda309@gmail.com,441,213827.5,2024-05-06
214,yashodakala368@gmail.com,1896,1253.06,2021-11-02
215,upkaarvarkey938@gmail.com,704,153639.32,2021-08-28
216,gavinmadan33@gmail.com,2952,194666.91,2024-11-22
217,poojakarpe268@gmail.com,2448,298531.79,2021-04-22
218,qasimrao89@gmail.com,2261,111458.72,2023-05-30
219,nachiketthakur644@gmail.com,67,175956.69,2020-11-05
220,simonnarasimhan135@gmail.com,33,5690.98,2024-07-27
221,lipikabhargava733@gmail.com,1325,41356.5,2021-01-13
222,hredhaanganesan704@gmail.com,1395,217581.95,2022-03-26
223,rudraraja252@gmail.com,3912,149555.18,2021-07-21
224,bhanumativaidya499@gmail.com,1604,244281.02,2023-08-25
225,girishram534@gmail.com,1210,40127.77,2024-06-02
226,keyasridhar321@gmail.com,1388,191592.17,2023-01-23
227,udantmital424@gmail.com,480,299505.43,2021-01-19
228,hemangnair818@gmail.com,1880,183576.45,2022-02-18
229,pahalsachar697@gmail.com,3286,172126.52,2021-10-05
230,xaviernazareth476@gmail.com,28,150684.49,2020-01-03
231,girikshere37@gmail.com,767,24329.48,2022-10-22
232,ranbirbarad52@gmail.com,2102,258445.83,2020-01-06
233,upkaarcontractor326@gmail.com,1191,101131.39,2021-05-05
234,farajdoctor99@gmail.com,499,190358.66,2022-12-30
235,ikshitagola41@gmail.com,711,24957.26,2021-08-01
236,rakshachandra906@gmail.com,770,55643.23,2024-10-26
237,raaginigrover826@gmail.com,2124,264806.99,2020-01-02
238,aahanaratti157@gmail.com,1896,122215.82,2024-08-25
239,michaelparsa789@gmail.com,3539,266262.04,2020-11-08
240,farajmisra182@gmail.com,1224,143741.55,2021-02-17
241,sudikshakashyap642@gmail.com,2355,2648.18,2020-01-26
242,keyasethi439@gmail.com,2319,221365.41,2021-10-08
243,mahikachadha54@gmail.com,3548,102808.61,2021-09-16
244,gaurikagarde658@gmail.com,649,205895.11,2020-12-05
245,darshparmar889@gmail.com,386,152016.87,2020-02-10
246,andrewbhandari573@gmail.com,353,26550.54,2020-12-22
247,ucchalray274@gmail.com,3669,163143.58,2024-03-14
248,turvikapoor974@gmail.com,261,325697.85,2020-09-13
249,zaitratripathi14@gmail.com,900,189438.92,2021-03-26
250,yadavirajan752@gmail.com,3326,145398.58,2020-02-05
251,mayagarde147@gmail.com,1804,236027.47,2023-06-13
252,lipikanarang777@gmail.com,243,166853.48,2020-03-11
253,imaranray440@gmail.com,251,166762.74,2020-11-18
254,nimratpalan518@gmail.com,1139,62669.99,2023-07-16
255,zaitraborah292@gmail.com,3598,168707.84,2024-11-22
256,triveninagy933@gmail.com,2319,232835.47,2023-12-20
257,chamandoshi684@gmail.com,397,83115.03,2022-03-19
258,nidhirajan735@gmail.com,968,263959.67,2024-01-26
259,kamyatandon730@gmail.com,3240,142663.52,2020-10-17
260,chasmumpau13@gmail.com,1139,78978.44,2020-06-23
261,warjaskorpal585@gmail.com,2058,229810.57,2020-02-09
262,oniandra632@gmail.com,2106,127056.46,2020-06-30
263,shivanirajagopal664@gmail.com,3146,210761.19,2021-07-17
264,anikapandya179@gmail.com,1978,126659.31,2024-05-09
265,amolgill760@gmail.com,2767,145213.91,2024-03-09
266,charleslall817@gmail.com,3474,189484.82,2024-06-29
267,yauvanisrivastava887@gmail.com,1268,173271.76,2024-02-15
268,quincynazareth856@gmail.com,3944,9642.54,2020-05-11
269,abhiramsanghvi105@gmail.com,565,60300.5,2021-04-25
270,rakshachandra906@gmail.com,2076,224352.8,2023-01-27
271,williammore519@gmail.com,2969,139429.07,2022-10-23
272,yutikarana642@gmail.com,2932,108101.5,2023-11-30
273,vincentsha648@gmail.com,3434,41314.08,2024-07-04
274,mekhalabal167@gmail.com,811,63621.09,2020-05-30
275,theodoresangha810@gmail.com,3027,11743.89,2021-06-11
276,upadhritinair969@gmail.com,3688,141897.54,2021-02-26
277,imarancheema515@gmail.com,1932,102124.99,2024-05-30
278,sudikshapurohit502@gmail.com,327,72672.97,2022-07-02
279,vasanatandon182@gmail.com,2485,144550.13,2021-02-24
280,harinakshisalvi715@gmail.com,1169,179117.65,2020-03-04
281,rajatabasak279@gmail.com,1904,317455.83,2023-01-03
282,kamyatalwar557@gmail.com,2495,29049.33,2024-06-07
283,champakdalal654@gmail.com,3477,242750.48,2020-06-14
284,bahadurjitbumb271@gmail.com,601,227848.12,2023-04-28
285,qadimgopal312@gmail.com,874,87672.58,2022-09-15
286,chakradharvohra46@gmail.com,3170,166258.88,2024-06-03
287,matthewpant818@gmail.com,1829,113389.34,2021-09-07
288,janyabhargava367@gmail.com,2778,164855.09,2023-05-03
289,bhavanilalla952@gmail.com,1432,270730.48,2021-12-09
290,udarshbains349@gmail.com,2893,198448.5,2024-09-11
291,binahegde406@gmail.com,3244,190688.67,2022-05-30
292,gayathribora865@gmail.com,3081,115575.25,2024-07-29
293,ekarajdate921@gmail.com,1219,31275.47,2020-09-28
294,tanishparmer364@gmail.com,3035,133322.54,2020-03-13
295,arjunchatterjee557@gmail.com,2569,246528.65,2024-06-27
296,mahikarai680@gmail.com,1688,27826.57,2021-02-28
297,kiaandass628@gmail.com,33,65592.85,2024-07-22
298,shauryamalhotra653@gmail.com,366,160101.42,2024-05-31
299,unniraman193@gmail.com,692,71227.62,2020-02-20
300,andrewlalla857@gmail.com,505,86598.12,2021-07-24
301,damyantidash521@gmail.com,3746,116112.11,2023-12-15
302,deepasabharwal305@gmail.com,2619,40750.61,2023-12-02
303,samakshsarkar695@gmail.com,2129,72070.25,2021-07-24
304,advaithgaba860@gmail.com,1905,206274.23,2024-12-28
305,gauripatla472@gmail.com,2253,45410.42,2023-02-25
306,logantella374@gmail.com,1818,22170.23,2020-05-26
307,andrewthakkar712@gmail.com,483,99598.0,2020-09-18
308,omkaarrandhawa628@gmail.com,3118,208556.44,2021-03-18
309,balhaarsetty930@gmail.com,1968,134246.26,2022-12-29
310,qasimmanne710@gmail.com,1688,112833.51,2021-06-22
311,mohininazareth234@gmail.com,3426,153548.7,2020-09-04
312,pushtiben238@gmail.com,1989,10343.41,2023-02-01
313,nirjabhasin374@gmail.com,1506,189576.45,2024-03-05
314,daksharavel907@gmail.com,1514,180674.8,2024-07-15
315,devparmer247@gmail.com,473,117255.32,2022-12-07
316,vaishnavinori497@gmail.com,3604,230473.96,2024-07-05
317,jalsadhillon926@gmail.com,3594,59800.31,2022-06-24
318,nehanaik219@gmail.com,352,240232.72,2021-03-24
319,arunimaparmer838@gmail.com,327,162359.49,2022-01-31
320,hiralom679@gmail.com,119,123075.79,2023-09-28
321,jackmunshi695@gmail.com,3669,148410.11,2024-06-22
322,krishnagill983@gmail.com,3049,141418.82,2024-05-22
323,devbose647@gmail.com,1743,247622.63,2020-11-27
324,omishawali627@gmail.com,3292,63865.67,2022-07-09
325,bhavyabadal315@gmail.com,3855,88998.46,2023-03-21
326,udantkadakia680@gmail.com,1231,232904.23,2020-05-29
327,pavanigade898@gmail.com,1972,102357.21,2024-04-25
328,ethanghosh292@gmail.com,2150,222042.65,2020-11-06
329,janyajani614@gmail.com,762,285954.88,2020-12-10
330,jalsapillai300@gmail.com,1175,117856.4,2021-01-06
331,ayushwason696@gmail.com,941,204508.99,2020-12-05
332,ekarajborde301@gmail.com,2844,57704.62,2021-02-24
333,rohanedwin508@gmail.com,2400,210378.66,2023-07-27
334,chakradharbail519@gmail.com,3744,165953.92,2023-07-19
335,amaranigam618@gmail.com,2866,187843.06,2020-07-05
336,lopasha476@gmail.com,747,98354.23,2022-03-01
337,teerthgour253@gmail.com,3081,17113.33,2024-07-03
338,victorbehl140@gmail.com,3131,190260.17,2020-07-27
339,hamsinisanghvi597@gmail.com,823,15072.25,2021-07-02
340,zinallal470@gmail.com,3390,124611.96,2021-01-30
341,manthanseshadri466@gmail.com,1035,225294.55,2023-12-19
342,rachitparmar830@gmail.com,3181,165351.82,2024-07-05
343,rachanadey310@gmail.com,2948,305867.41,2024-08-04
344,pahalsarraf857@gmail.com,3386,232008.73,2024-03-28
345,theodoresetty717@gmail.com,803,97688.13,2023-04-15
346,vanshadash555@gmail.com,3624,152185.07,2021-01-17
347,wakeetachaudhary614@gmail.com,231,146210.34,2020-02-06
348,arinsachdev844@gmail.com,1743,23425.86,2020-10-20
349,gunbirdutta629@gmail.com,1129,74768.09,2021-01-20
350,chanakyadutta632@gmail.com,2344,105139.13,2022-09-13
351,revachada423@gmail.com,691,12897.64,2024-12-06
352,baghyawatiaurora311@gmail.com,557,153799.48,2021-01-09
353,agastyabarad565@gmail.com,2340,130074.25,2021-01-22
354,leelamangal251@gmail.com,1210,16168.49,2024-02-01
355,nidhiravi572@gmail.com,645,182337.03,2023-09-11
356,ishaniprashad149@gmail.com,161,207269.82,2022-08-30
357,snehalal415@gmail.com,3282,168162.76,2020-11-09
358,luckyhayre57@gmail.com,1804,124074.55,2022-09-09
359,falakamble831@gmail.com,2168,197315.37,2022-11-07
360,ekantaagate244@gmail.com,2173,204417.63,2022-07-13
361,balendrabhatnagar662@gmail.com,1159,174592.29,2021-04-23
362,darpanagarwal637@gmail.com,1630,84031.02,2021-11-21
363,chakradevlal943@gmail.com,2764,172128.06,2023-04-02
364,zashilgrewal703@gmail.com,1075,245638.45,2022-08-06
365,chakrikadass305@gmail.com,1924,102269.68,2020-04-19
366,amarabawa784@gmail.com,513,317835.15,2022-12-04
367,dominicyohannan576@gmail.com,1208,107949.53,2024-02-09
368,lukesahota21@gmail.com,1100,152592.56,2024-04-12
369,paniniraman26@gmail.com,1761,96201.15,2024-11-25
370,ronithbabu368@gmail.com,1774,167861.67,2021-11-30
371,anshdivan69@gmail.com,2866,10622.26,2021-10-01
372,jackmunshi695@gmail.com,2604,106316.66,2021-05-10
373,yashodalal673@gmail.com,3573,62630.3,2022-03-09
374,ekbalnori601@gmail.com,1961,160827.07,2023-04-13
375,ekbalratti657@gmail.com,3713,229555.79,2024-11-13
376,yauvanisarkar586@gmail.com,2231,201680.49,2023-06-29
377,warhinarasimhan562@gmail.com,1206,39732.75,2022-01-05
378,wazirtata902@gmail.com,438,313365.57,2023-11-14
379,samarthoak954@gmail.com,2896,173622.4,2020-09-04
380,anjaliprasad989@gmail.com,89,87880.07,2022-08-29
381,harishmannan587@gmail.com,1963,162570.23,2024-07-12
382,balhaarsetty930@gmail.com,263,164095.19,2023-07-18
383,jagratiahuja810@gmail.com,2214,96652.1,2020-11-13
384,patrickjayaraman73@gmail.com,1745,165833.33,2023-10-27
385,abhimanyusubramaniam734@gmail.com,1946,101402.22,2020-05-07
386,abhiramkapur820@gmail.com,2609,117651.04,2021-04-03
387,netramand383@gmail.com,1721,95097.67,2021-04-25
388,hiralparikh490@gmail.com,1424,35386.3,2021-04-03
389,akshaypandey603@gmail.com,8,161666.92,2021-06-12
390,yochanavohra720@gmail.com,3517,196823.95,2022-06-03
391,amairanadig694@gmail.com,2812,191190.69,2020-11-16
392,jaigarde143@gmail.com,3167,215594.02,2023-05-28
393,rajeshritripathi650@gmail.com,2120,175947.22,2020-12-18
394,chaturashukla154@gmail.com,93,107381.96,2022-08-03
395,avnibahri653@gmail.com,1289,217173.11,2021-04-17
396,qushigera354@gmail.com,3438,41398.6,2024-10-18
397,abhachaudry476@gmail.com,3233,77946.29,2023-10-02
398,wazirsolanki230@gmail.com,1111,72863.99,2022-11-10
399,jonathanbandi725@gmail.com,2045,236404.48,2020-05-31
400,tanveerkata819@gmail.com,3182,225423.08,2024-07-06
401,petersarkar462@gmail.com,3919,188984.42,2022-02-18
402,unnatikhosla138@gmail.com,3461,235754.39,2020-09-16
403,aarnavkant573@gmail.com,944,79657.38,2021-04-13
404,avnimanne373@gmail.com,1453,177887.61,2020-07-14
405,advayvarughese588@gmail.com,1563,139986.05,2022-06-06
406,anmoltripathi537@gmail.com,3229,217750.57,2020-08-15
407,garimasolanki717@gmail.com,1081,140782.06,2023-03-29
408,rajataramanathan535@gmail.com,942,119204.57,2021-08-08
409,harrisonpuri103@gmail.com,793,193272.68,2021-09-01
410,zilmilkaul52@gmail.com,3360,220093.53,2022-09-12
411,janakibhat227@gmail.com,3386,96532.38,2020-04-13
412,noahchandra834@gmail.com,417,145113.95,2024-11-12
413,arinahluwalia224@gmail.com,1939,65324.75,2021-10-09
414,ryantandon23@gmail.com,2824,49844.88,2021-03-22
415,amairamuni607@gmail.com,857,166036.77,2021-03-26
416,raghavgoel885@gmail.com,1162,198712.43,2024-12-17
417,chameligrover347@gmail.com,3719,170965.34,2024-05-16
418,kamalalall10@gmail.com,2724,5964.94,2023-09-05
419,abdulsen816@gmail.com,2370,121932.05,2024-11-13
420,rajatakhare906@gmail.com,1142,27467.82,2024-03-16
421,nilimapau638@gmail.com,3522,259576.09,2021-10-14
422,oshabandi935@gmail.com,3171,63115.63,2021-04-02
423,tanviaggarwal468@gmail.com,2391,250432.29,2022-01-27
424,ekanikaul140@gmail.com,2586,225669.57,2022-08-30
425,aishaniradhakrishnan820@gmail.com,419,77952.77,2023-11-03
426,atharvgrover374@gmail.com,2259,59377.2,2020-01-05
427,indiraroy783@gmail.com,254,178029.62,2023-12-22
428,sanayadixit855@gmail.com,1675,82454.08,2021-05-02
429,rachanagrewal104@gmail.com,1854,158198.77,2021-07-18
430,jalsadoctor876@gmail.com,2828,111373.79,2024-06-01
431,rajatalad149@gmail.com,973,7507.33,2023-01-02
432,ubikazacharia172@gmail.com,3755,28437.44,2020-11-10
433,vanyaanand118@gmail.com,2972,168134.74,2022-10-22
434,anvikrishnamurthy288@gmail.com,1365,105075.38,2023-03-11
435,janyapillai186@gmail.com,1935,105752.81,2023-01-08
436,alkabaria630@gmail.com,1245,205669.11,2021-12-21
437,fariqnatt654@gmail.com,1420,243875.38,2021-10-11
438,meghanaparmar402@gmail.com,3839,128196.42,2021-09-26
439,hardikdatta532@gmail.com,3432,122752.1,2020-08-11
440,mitaliwalla660@gmail.com,1290,190011.44,2023-01-26
441,olivernagar571@gmail.com,1992,41445.15,2023-08-15
442,parthbanik614@gmail.com,3234,167852.24,2020-02-27
443,fredericksarna406@gmail.com,1147,194150.88,2022-10-31
444,ekiyaravi414@gmail.com,214,204418.42,2022-02-18
445,anaypanchal398@gmail.com,3180,4940.22,2022-03-30
446,riyajain978@gmail.com,3343,89091.58,2023-09-06
447,tejaskhanna251@gmail.com,2440,79738.94,2024-01-31
448,ishanikrishnamurthy471@gmail.com,3627,157990.96,2021-07-27
449,lakshmijain938@gmail.com,1070,188459.57,2023-05-22
450,indrajittalwar136@gmail.com,2837,269736.83,2021-04-09
451,lipikabhattacharyya111@gmail.com,2497,110402.76,2020-09-20
452,dayitajoshi190@gmail.com,357,110194.2,2023-02-10
453,neelimajaggi346@gmail.com,30,241973.76,2021-11-05
