id,name,description,founder_email,funding_goal,amount_raised,status,created_at
13,"Pal, Varughese and Padmanabhan","Ab debitis hic temporibus excepturi eligendi omnis. Pariatur possimus maxime ad porro quos ducimus.
Neque sint corrupti quasi ipsa. Nobis quo molestias magnam deserunt commodi id veniam.",wakeetabath413@gmail.com,5483924.54,3050840.33,rejected,2022-07-26
14,Hegde LLC,Culpa vel placeat veniam aliquid. Occaecati ipsam veniam eaque odio. Totam rem aspernatur ipsum.,vrittigole268@gmail.com,1173439.51,490431.94,approved,2024-10-02
15,Purohit LLC,"Eveniet in dolorem aliquid soluta. Quo quo excepturi illum ducimus praesentium minima libero.
Eaque ex adipisci ipsum quo. Porro reprehenderit delectus dolores temporibus ipsa.",anmoldeol768@gmail.com,1550164.33,367373.59,pending,2024-02-28
16,Palla-Chandra,Quis vel magnam quaerat aliquam laudantium. Natus ab nemo nihil deserunt omnis. Quibusdam consequatur vitae.,iryarastogi181@gmail.com,3875424.94,308223.24,rejected,2024-03-24
17,"Kapadia, Jayaraman and Varughese","Eaque soluta velit nisi quia aliquam.
Delectus accusantium aspernatur unde similique nesciunt odio iusto. Ipsam tempora et recusandae.",omyamanda560@gmail.com,2974337.76,841165.53,approved,2023-12-31
18,Yadav-Raman,Inventore recusandae delectus similique laborum in. Incidunt itaque temporibus.,yuvrajshukla680@gmail.com,5628494.67,439146.87,pending,2022-03-15
19,Gala-Sood,Quidem sapiente impedit quia accusamus eligendi repellat. Assumenda consectetur adipisci eveniet error magni velit.,kiaannadig449@gmail.com,3183951.85,654971.11,pending,2020-03-18
20,Vohra-Baral,Omnis fugiat consequatur necessitatibus quam corporis. Quos enim labore expedita.,dhritikibe521@gmail.com,2175392.6,84248.86,approved,2023-09-01
21,Singh PLC,Magnam molestias aliquam a tenetur quas dicta molestias. Magni libero debitis rem voluptas.,hardikmukhopadhyay361@gmail.com,7931297.54,7705373.97,rejected,2020-10-16
22,"Baral, Chopra and Pau","Distinctio iste ipsa nisi. Iste cum enim. Ab laborum dolorum consectetur temporibus.
Aspernatur aliquam voluptatem incidunt. Illo autem repellendus sed.",hredhaanranganathan733@gmail.com,4548447.4,2553616.53,pending,2020-01-14
23,"Wali, Subramanian and Bora",Sit similique vero nobis eaque minus. Placeat est quos officia perspiciatis dolor.,mohammedsinghal980@gmail.com,5135056.41,4112016.38,approved,2021-03-31
24,Borra-Bhalla,"Doloribus excepturi maiores ipsum veniam enim ducimus ducimus. Ad animi assumenda.
Occaecati eaque mollitia placeat voluptas impedit excepturi. Culpa explicabo necessitatibus molestias.",warinderravi431@gmail.com,2150503.63,1962279.84,pending,2023-02-07
25,"Khosla, Pandya and Virk","Ratione harum quod optio pariatur ea facere atque. Voluptatibus eaque beatae. Et corporis soluta.
Est natus dolorum quam sunt ratione. Dolor fugit totam non.",praneeldani154@gmail.com,3911234.55,3692769.04,approved,2021-10-12
26,Kade Inc,"Maiores reprehenderit suscipit doloribus cumque occaecati. Quidem mollitia quos fugit eligendi.
Nihil quos ipsa nemo ipsum corrupti voluptate aperiam. Quae cum quas dicta ad nam.",hredhaandoctor763@gmail.com,5221845.18,3387792.5,approved,2024-11-20
27,Bobal Inc,"Autem mollitia earum nobis atque. Neque voluptates iusto itaque sapiente quia.
Autem porro deleniti adipisci nesciunt libero. Soluta deserunt placeat cumque perferendis praesentium quibusdam.",yashodharadasgupta787@gmail.com,2698012.85,2408874.14,rejected,2024-09-17
28,Trivedi PLC,"Expedita alias earum quisquam repudiandae inventore. Nesciunt voluptatibus suscipit. Unde ratione saepe accusamus commodi.
Placeat repellendus quos cumque fugit nisi ab. Magni incidunt rem ipsum.",lekhajohal228@gmail.com,5751396.04,3940157.34,rejected,2020-06-14
29,Jha-Taneja,Enim sint ex unde necessitatibus laudantium voluptate. Temporibus fugit laudantium placeat cupiditate vero quasi.,nachiketnori314@gmail.com,3798722.62,2768298.15,rejected,2020-03-27
30,Garg PLC,Voluptatibus accusantium rerum fugit harum aperiam commodi. Debitis voluptatem velit. Minima distinctio quo possimus.,jagvisant164@gmail.com,4416612.5,2445549.34,rejected,2024-05-02
31,Pradhan-Gaba,"Rem expedita perferendis et. Assumenda veritatis ut nobis.
Id repellendus debitis repellat adipisci minus. Incidunt consequuntur nisi officiis eveniet laudantium.",abhiramramesh784@gmail.com,3796586.78,239235.58,pending,2021-02-16
32,Som-Sha,"Esse magnam culpa aperiam vero. Mollitia reprehenderit facere esse. Eaque blanditiis ipsum sit nulla.
Architecto neque voluptate ab. Explicabo voluptatibus rerum voluptatum maxime amet.",samakshhans307@gmail.com,8704556.37,4827115.6,pending,2023-11-04
33,"Prabhu, Parikh and Agarwal",Cumque voluptatem tenetur quod sapiente. Magnam veniam qui dicta cum fugit dolorum. Officiis laborum aspernatur incidunt voluptatum iure ducimus.,chandaniyohannan142@gmail.com,4973005.55,1082968.01,approved,2024-07-31
34,Vohra-Char,Officiis dolorum non quos at quas. Veniam vel dolores.,gavinbassi975@gmail.com,2884578.14,1892507.75,approved,2021-11-23
35,Grover Inc,"Eos placeat omnis cum pariatur unde. Iusto quis ipsum impedit. Accusamus eius tempore culpa.
Velit minus cupiditate libero rerum temporibus aliquid dolorem. Ipsa commodi aut facilis vel.",varshaarora321@gmail.com,6645089.82,3132253.86,approved,2022-04-04
36,"Narayan, Reddy and Minhas","Fuga culpa atque reiciendis. Commodi minus dolorem deserunt.
Reiciendis nemo minima incidunt beatae eveniet quasi est. Architecto dignissimos id id incidunt.",nathandugar603@gmail.com,2558312.7,979856.49,approved,2021-01-03
37,Pandey-Parsa,Praesentium eos ullam autem. Esse doloremque vitae ratione. Debitis omnis tenetur doloribus provident neque amet.,lopavenkataraman432@gmail.com,5417727.19,3209380.33,approved,2023-02-08
38,Hegde LLC,Quaerat repudiandae nisi soluta. Minus impedit officia beatae voluptate tempora sed. Unde perspiciatis ab voluptatem doloremque consequatur similique.,omyabarad872@gmail.com,1080659.75,176030.66,rejected,2024-12-23
39,Kaul LLC,"Veniam ex facilis sit iure. Labore repellat repellat libero deserunt quo.
Sunt quas nisi alias. Fugit dolore praesentium eos.",madhavkaran186@gmail.com,2343627.9,17576.91,rejected,2021-09-12
40,Cheema-Varty,"Ullam odit repellat ut sapiente eos minus. Sed ad voluptatem rem suscipit quasi.
Quaerat quasi exercitationem soluta. Dolorem eaque ratione cum. Ipsa debitis distinctio quasi commodi.",gaurangbalasubramanian608@gmail.com,5393722.47,2274215.18,approved,2024-06-18
41,"Desai, Solanki and Sunder","Dignissimos rem at veniam.
Officiis illum ipsum sit commodi enim ratione. Dicta odio at inventore. Voluptates sequi maxime ipsa.",joshuaoza814@gmail.com,6476933.16,2914136.26,pending,2023-11-29
42,"Ben, Gokhale and Shere",Quaerat officiis alias a explicabo. Quaerat repellendus quae culpa optio.,maanavkapoor643@gmail.com,5342736.56,4134973.72,rejected,2023-05-22
43,"Patil, Mitter and Contractor",Officiis praesentium quibusdam vel quas delectus quas. Rerum vitae maxime eos eius dignissimos. Necessitatibus quidem nihil provident neque consectetur quos quaerat. Nobis atque voluptatum in.,eshanayadav108@gmail.com,4768703.44,2400211.52,rejected,2024-04-29
44,Rattan Ltd,Asperiores praesentium voluptas suscipit. Harum eius aliquid quia. Consequatur magni atque eligendi voluptas ea.,ladlidewan638@gmail.com,4397792.61,3911259.66,approved,2023-06-15
45,Srinivas-Zachariah,Beatae quos architecto. Consectetur neque quo facere provident assumenda.,akshaybhatia955@gmail.com,2042956.02,828256.85,approved,2022-12-07
46,Dhar Ltd,Eligendi sit nostrum quaerat odio ratione. Qui possimus ad excepturi.,aaravramaswamy955@gmail.com,3560311.58,2105746.94,approved,2021-08-17
47,Mannan Group,Consequatur vero reprehenderit. Voluptate ullam ex possimus qui quas quisquam. Reprehenderit delectus doloremque fuga.,poojamukhopadhyay790@gmail.com,4078722.46,1554238.65,approved,2020-02-07
48,"Char, Dubey and Vig","Maiores dolores iusto aspernatur aperiam saepe aliquam itaque.
Expedita amet at quibusdam odio veritatis provident. Maxime ipsam facere quod fugiat inventore voluptate.",omyasood613@gmail.com,7114244.45,1290110.37,approved,2021-03-27
49,Atwal PLC,Explicabo laudantium fugit dolor. Nisi excepturi ea veniam optio sit. Illum sunt deserunt.,onkarramanathan978@gmail.com,5687236.58,3440570.72,rejected,2022-11-10
50,"Banerjee, D’Alia and Nadig",Iusto tenetur quae placeat aperiam dolores quas tempore. Nihil recusandae voluptate iusto labore pariatur. Blanditiis blanditiis autem voluptatum laudantium commodi debitis.,farajgoswami475@gmail.com,1473919.69,17422.02,pending,2022-11-28
51,Varma Group,Cumque porro nobis praesentium dicta mollitia. Incidunt blanditiis fugit aliquam minus reprehenderit deleniti laudantium.,lekhagopal596@gmail.com,5648167.94,2846366.06,pending,2021-06-17
52,Sant Group,"Qui sunt in qui dolorem nisi sed. Accusamus non adipisci quisquam repudiandae animi.
Quod reiciendis qui temporibus est. Quas cumque omnis sunt.",atigrewal837@gmail.com,4229835.44,3448890.53,rejected,2024-02-21
53,Shroff Inc,Amet voluptate eaque. Similique saepe deleniti in vero voluptates.,hemangbaral691@gmail.com,3646156.0,30412.68,pending,2021-10-13
54,"Bobal, Hayer and Shroff","Illo molestias optio.
Necessitatibus quae reiciendis reprehenderit nam sapiente soluta non. Omnis error libero.",sanayaraman81@gmail.com,6223352.58,972434.09,pending,2023-02-18
55,Ganesh Inc,"Aut vero labore quo hic ex sint. Aliquam aspernatur reiciendis non cum quod.
Omnis necessitatibus accusamus ipsam id quia quae dignissimos. Eveniet odio ut repellendus doloremque.",vidhisahota139@gmail.com,7061999.04,1394456.81,pending,2021-03-07
56,Kuruvilla-Mahal,Sapiente iusto possimus exercitationem ea totam. Iste adipisci veritatis assumenda. Incidunt cupiditate expedita exercitationem corrupti consequuntur.,nehaiyengar78@gmail.com,6862560.24,3233690.12,rejected,2022-08-06
57,"Saha, Gole and Khare",Explicabo corporis impedit. Cupiditate saepe nulla incidunt ad minus quidem. Debitis repellat commodi ea. Fugiat ex doloribus harum enim.,anshnath442@gmail.com,3321564.95,2820794.05,approved,2021-01-19
58,"Padmanabhan, Subramanian and Rastogi",Harum animi reiciendis necessitatibus aliquam quaerat voluptatem. Culpa omnis ut magni. Repellendus quisquam modi sint. Beatae dolore blanditiis earum sit.,upmaraja651@gmail.com,4381575.25,3473570.75,rejected,2020-01-15
59,Roy Ltd,Maiores enim enim. Labore maiores possimus. At similique animi tempora veniam perspiciatis voluptatum.,ijayarai224@gmail.com,5662526.86,312741.05,rejected,2022-08-10
60,Vig-Purohit,"Aspernatur nesciunt vero deleniti nihil ipsam quo. Quaerat cumque id debitis harum.
Quae laudantium eos ipsam. Velit est rem in.",kashvikhare434@gmail.com,6951090.25,3957504.43,pending,2020-10-28
61,Tank LLC,"Voluptatem error error quod corporis nisi quam. Architecto magni deserunt distinctio.
Aut nostrum accusamus vitae. Enim voluptatibus at neque iure.",vrittimagar779@gmail.com,4041651.52,3660453.3,pending,2023-11-25
62,Shere and Sons,Praesentium dolore impedit necessitatibus. Repellat beatae doloribus sed ut culpa.,bhavnahalder422@gmail.com,4628682.05,2691487.35,rejected,2020-11-29
63,Kara-Saran,Neque tenetur nobis distinctio dicta aspernatur. Blanditiis sapiente quo quae nostrum ad iusto.,ranbirshah25@gmail.com,2787330.05,2255702.28,approved,2024-12-30
64,Wason LLC,In mollitia harum. Explicabo voluptatibus maiores ipsum voluptatem est laudantium esse. Voluptates officiis esse.,rachitakari928@gmail.com,2607586.75,1067075.87,approved,2022-05-02
65,Vala-Sundaram,Velit vel officiis placeat vitae molestiae nam harum. Necessitatibus perspiciatis eveniet porro.,unnativenkataraman615@gmail.com,6625051.64,4010627.5,pending,2020-10-02
66,Dass-Rattan,Reiciendis esse quis tempore. Odio dicta repudiandae. Neque recusandae facilis ipsam.,anthonybatra172@gmail.com,7712480.06,839600.55,approved,2024-06-21
67,Chandran PLC,Suscipit excepturi atque saepe porro molestiae. Impedit pariatur magni harum molestias dicta. Voluptatem culpa dignissimos sed aliquam maxime ea.,rachitabalakrishnan300@gmail.com,4855979.76,2977961.87,rejected,2022-09-16
68,Dubey PLC,"Hic perferendis ducimus a. Quaerat facere quisquam nostrum earum.
Architecto laudantium quam voluptatem unde. Impedit rerum quod qui quae occaecati quasi esse. Ratione quo possimus.",utkarshkalla777@gmail.com,7007065.8,1289000.26,rejected,2020-02-27
69,Swamy Ltd,Voluptates tenetur reiciendis ex quo non eaque. Explicabo voluptate dolor in placeat. Corrupti impedit quaerat fugiat alias. Iste officiis voluptate ab quo minima.,daksheshchhabra592@gmail.com,5723272.05,4006666.19,rejected,2022-08-10
70,Manda and Sons,Sequi eligendi exercitationem dolore sed. Quidem mollitia alias. Provident laborum excepturi delectus quae quasi ipsum. Veritatis optio incidunt nobis sapiente.,finnshah670@gmail.com,3709760.49,3004969.09,rejected,2024-07-25
71,"Ahuja, Baria and Dubey","Excepturi quia est perferendis nesciunt. Soluta voluptatum est molestiae. Asperiores voluptates iusto.
Saepe magnam suscipit molestiae.
Voluptatem nulla aliquid quis tenetur veniam dignissimos.",vedikaravi428@gmail.com,5722791.21,5279540.94,rejected,2021-11-10
72,Salvi-Bahl,Beatae dolorum blanditiis facere amet saepe.,zayyankadakia400@gmail.com,8076073.13,3682478.84,rejected,2020-04-10
73,"Agarwal, Master and Sahota","Pariatur aperiam incidunt. Tenetur corrupti placeat vitae alias vitae.
Dolorem enim asperiores sed. Esse eligendi cumque nam nam.",nishabasu998@gmail.com,4928347.92,2141881.22,approved,2021-10-15
74,Kaur Group,Deleniti non tempora maiores magnam nesciunt. Enim amet itaque placeat. Reprehenderit optio ut laudantium.,tarakbala608@gmail.com,8129287.31,2158676.39,rejected,2022-01-08
75,Ratti-Guha,Rem cumque autem ut possimus veniam corporis. Alias provident eligendi deserunt.,amaramisra311@gmail.com,239490.21,7669.78,approved,2022-05-25
76,Narayan-Gill,"Reprehenderit odit in nostrum unde ex. In magnam eligendi. Inventore non aspernatur at aliquid quaerat.
In reiciendis dolores praesentium. Facere eligendi sint itaque.",eshanayadav108@gmail.com,6643805.01,5664451.55,rejected,2022-07-09
77,Bobal LLC,"Neque hic adipisci cupiditate sit nostrum alias. Recusandae magni consequatur animi.
Qui minima nemo dolore quod est. Aspernatur amet blanditiis modi repellendus.",vasudhatrivedi533@gmail.com,5174094.14,127349.8,pending,2023-09-12
78,"Brar, Seth and Majumdar",Natus asperiores animi provident. Quisquam excepturi odio alias. Aperiam harum culpa molestias blanditiis laudantium maiores.,joshuamane965@gmail.com,4401985.3,228813.79,approved,2021-03-08
79,Zachariah PLC,"Ipsam reiciendis similique. Repellat culpa omnis id error officiis.
Voluptatem possimus id amet tempora. Eos ea quas laborum voluptatum inventore tempora unde. Sed possimus incidunt placeat officiis.",vrittirajagopal778@gmail.com,5183521.55,1803832.19,rejected,2022-06-12
80,"Chawla, Kibe and Solanki",Explicabo doloremque eligendi ullam optio vero voluptate at. Atque corrupti ex accusamus possimus sed. Accusamus voluptates iure blanditiis tenetur fugit.,manyamitra257@gmail.com,1024862.17,204284.76,pending,2023-05-22
81,Sethi-Walla,Veniam eius recusandae quia. Hic error facilis minus consectetur distinctio atque consectetur.,bachittargill69@gmail.com,4560656.22,1884683.31,approved,2022-02-27
82,Ram-Prakash,Ut ipsam quod vero. Quo aliquam ex maiores expedita. Facilis similique quod aspernatur modi nulla.,omishasingh384@gmail.com,5714225.14,5709824.73,pending,2024-04-23
83,Bhardwaj PLC,Iste voluptate animi quibusdam cum dolores adipisci. Temporibus voluptatem cumque laborum. Natus cumque id velit consequuntur. Perferendis quo neque sapiente eum incidunt.,leelatara318@gmail.com,7955788.09,7713093.43,rejected,2021-07-05
84,Gole-Parekh,Corrupti dicta at maxime. Aliquam reiciendis amet tempore illum minus incidunt. Nesciunt exercitationem nesciunt accusantium.,jaibatra391@gmail.com,3963459.56,433752.31,pending,2022-01-23
85,"Buch, Dutt and Nair",Dolores voluptatibus veritatis sequi minima. Pariatur laudantium aperiam in ipsam itaque dolore. Voluptates corporis enim tenetur rerum praesentium iure.,pavanivarma454@gmail.com,3383012.79,2198067.71,approved,2020-02-07
86,Ramanathan Inc,"Voluptates ipsa saepe neque quo facere cumque iste. Iure tempora qui mollitia modi perspiciatis corrupti ipsam.
Illo pariatur minus voluptatum necessitatibus.",amarajain421@gmail.com,3996485.91,3628832.95,approved,2023-05-18
87,Char-Khanna,"Assumenda animi commodi eos cumque fuga accusantium. Saepe exercitationem totam dolorum. Nam tempora ipsum quo voluptatem.
Dolore minima tenetur laborum optio. Natus voluptatum quaerat sed.",nitaranarayanan100@gmail.com,6830804.24,4906412.3,rejected,2022-10-16
88,"Iyengar, Contractor and Guha","Optio mollitia occaecati optio. Corporis possimus illum explicabo.
Laudantium laborum magni similique earum sequi. Modi dicta dolorum quibusdam enim. Eius quas ab illo.",yadavisharma31@gmail.com,5657502.22,1788983.57,approved,2022-12-24
89,Dhingra Group,"Nostrum cupiditate magnam expedita at. Porro dolor ad earum modi facere.
Nihil labore alias possimus dolor sit laboriosam. Excepturi et beatae. Consequuntur quibusdam ad quibusdam.",harshyogi708@gmail.com,3940479.59,784361.57,approved,2023-04-30
90,Mukhopadhyay and Sons,"Explicabo praesentium laudantium. Amet sunt voluptatum deleniti maxime.
Culpa labore ex laudantium cumque consectetur. Ratione cupiditate atque voluptas saepe optio.",nilimaoza240@gmail.com,6026534.87,4725961.88,approved,2022-04-21
91,"Dass, Sunder and Sarkar",Possimus dolores odit explicabo neque dolorem molestiae. Recusandae libero quidem eum iusto odit. Eos neque nisi ex iste tempora nam.,rakshabanerjee585@gmail.com,5194155.1,5059216.9,pending,2022-10-24
92,Sama-Sant,Ratione neque aspernatur dolorem deserunt asperiores iusto magni. Culpa at ad delectus nesciunt.,umanggolla651@gmail.com,6937289.98,6437087.88,approved,2022-08-23
93,"Choudhary, Baral and Chanda",Animi beatae natus laudantium. Eaque autem distinctio assumenda cum recusandae impedit.,yashvinazareth861@gmail.com,3595893.81,2809315.8,approved,2020-11-15
94,"Pradhan, Chandran and Mukhopadhyay",Illo ipsa asperiores sit omnis consectetur. Quia ipsam cum ullam. Temporibus modi officia adipisci corporis.,jaibahri688@gmail.com,4344675.71,4206477.22,approved,2021-11-29
95,Mandal-Yohannan,"Eum repellendus illo harum. Vero vel provident eum nesciunt omnis. Voluptates nobis culpa beatae.
Possimus mollitia libero aliquam. Ab quis quidem alias libero sed.",atisangha198@gmail.com,4215783.69,2066414.59,approved,2024-01-03
96,Choudhry PLC,"Eveniet molestias sit tenetur soluta. Nam architecto corporis maiores nihil alias error. Repellat dolor id.
Porro dolorum magnam officiis culpa quas quis. Natus eum autem. Non ipsa in unde ducimus.",reyanshbarad229@gmail.com,2072970.1,1346080.16,approved,2021-12-30
97,Das-Sharma,Eligendi quasi fuga animi enim. Vero sapiente ad blanditiis corporis aliquam minus. Distinctio porro dicta sequi quasi ullam atque eveniet. Quo reprehenderit quis recusandae eligendi animi fuga.,aarushbhatnagar324@gmail.com,5592240.55,2963974.69,rejected,2020-04-04
98,"Agarwal, Balan and Nayar","Maiores cum reprehenderit sapiente. Reiciendis similique alias nobis quam harum. Quaerat magni deleniti sed in.
Rerum molestias quam. Magni blanditiis porro.",zashilpatil960@gmail.com,5522110.54,5447939.26,approved,2023-12-20
99,Bose PLC,Distinctio quasi perspiciatis voluptas provident. Repellat nisi ex dolore necessitatibus.,tanmayinayar674@gmail.com,5010226.91,2915122.31,approved,2024-12-19
100,Toor-Issac,"Iure natus explicabo earum. Quia possimus earum magni reiciendis. Qui nam in recusandae.
Aliquam qui architecto cupiditate vel quo.",gagansaran698@gmail.com,4530825.73,3899686.46,rejected,2022-10-20
101,Sahni-Choudhary,"Id nemo alias expedita blanditiis cupiditate. Quaerat et ea molestiae aspernatur odio quo dolor.
Harum numquam veritatis repellat cupiditate id laborum.",petermaster725@gmail.com,2169258.52,695820.91,rejected,2023-07-14
102,Thaman Ltd,Ipsam officiis eius corporis. Illo praesentium itaque hic. Repellendus porro exercitationem saepe nulla molestias mollitia. Vitae quasi eius dolorum magni maxime sint.,ubikapal906@gmail.com,4158709.35,3702862.35,rejected,2024-03-12
103,Walia-Mani,"Ipsa itaque provident numquam blanditiis quae modi. Dolor excepturi illo accusamus.
Modi vero odio placeat earum quo. Sunt sed cum saepe optio.",brindapai65@gmail.com,4314570.97,3837160.26,approved,2023-03-20
104,Mital Group,Quia iusto suscipit natus eveniet consectetur. Sit minus libero voluptatibus assumenda cum minus. Mollitia corporis ducimus cumque autem qui quibusdam similique.,ladlichaudry258@gmail.com,3395445.46,1159718.57,approved,2023-07-03
105,Nanda Ltd,Est magni ut dolores. Quia distinctio incidunt maxime ea. Quaerat corporis maxime atque fugit corporis.,snehaiyengar543@gmail.com,4677428.58,2189766.32,approved,2022-02-18
106,Kari-Contractor,"Sequi voluptatum id. Rerum quibusdam cum ullam dolor officia.
Ab aliquam laborum porro id.
Deleniti incidunt quos at fugit. Culpa ab voluptates culpa omnis consequatur nemo magni.",gavinchawla871@gmail.com,5808101.71,283594.64,pending,2024-06-18
107,Raja Inc,"Error optio ratione aliquid. Itaque vel eaque et expedita praesentium.
Reprehenderit ad exercitationem at minus.",qarinkarnik29@gmail.com,8772371.8,1492690.5,pending,2024-04-28
108,Misra Ltd,Corporis corrupti alias sunt numquam consequuntur eius. Asperiores tenetur nisi dicta. Nostrum quas veritatis earum aliquid.,nikitakrish677@gmail.com,5349155.63,1279099.47,pending,2024-04-16
109,Sood Group,"Consequuntur natus praesentium. Natus itaque facilis dolorem ut. Dicta alias nisi nam.
Voluptate sunt inventore sit facilis iure error hic. Animi assumenda et in beatae.",yashmand994@gmail.com,5515100.78,4157622.33,pending,2020-10-02
110,"Borde, Oza and Chopra","Laborum itaque doloremque.
Architecto nesciunt laboriosam consequatur. Non modi perferendis delectus. Consectetur earum optio corporis.",samakshmanne570@gmail.com,4851108.17,1516553.67,approved,2022-08-19
111,Sem-Varughese,Eos aperiam aspernatur libero similique totam. Sequi sed molestiae. Nisi rem voluptatibus voluptate iste quas nesciunt.,georgedey849@gmail.com,1162457.57,161734.22,approved,2020-09-24
112,Kurian and Sons,Voluptates at asperiores placeat libero. Nemo eveniet aliquid saepe esse ea corporis. Enim accusamus consequatur impedit tempora ipsa molestias.,vedikashah974@gmail.com,4946972.25,1305704.48,rejected,2020-04-07
113,"Prakash, Pai and Shenoy",Illum reiciendis totam corporis dignissimos maiores maiores. Possimus ab porro. Maiores nulla consequatur laudantium.,garimadate773@gmail.com,5120460.42,4220834.15,pending,2020-09-03
114,Chandra and Sons,Voluptas assumenda possimus blanditiis aspernatur. Consequuntur beatae dolorem eius laudantium. Laudantium nisi modi tempore numquam similique ullam. Esse quod perferendis iure maxime.,abhanagarajan420@gmail.com,9926484.22,6074293.86,pending,2022-03-31
115,Pai-Iyengar,Provident impedit incidunt recusandae. Soluta cum illo vel ullam velit. Velit voluptatem laudantium dicta nam architecto.,kritikaprasad415@gmail.com,4615278.07,971103.5,approved,2023-07-03
116,Dass-Bera,"Corrupti voluptate dicta sunt qui dignissimos ullam. Quia laboriosam deleniti.
Perferendis neque recusandae totam cupiditate. Architecto illo excepturi tenetur.",qasimjani401@gmail.com,5603094.68,2565527.98,rejected,2021-08-06
117,Thaker-Bahl,"Animi ipsum veritatis quo vel eos. Ea beatae repellendus animi esse quia.
Officia fuga temporibus soluta. Repudiandae quod excepturi quidem eius accusamus facilis.",utkarshkalla777@gmail.com,4930576.46,4155059.42,rejected,2022-08-11
118,Joshi Ltd,Alias nam exercitationem iure magnam hic id. Ad a dolorem quas tempora culpa.,rushilrandhawa78@gmail.com,2662643.92,2166808.55,pending,2023-09-26
119,Dewan-Saran,Quibusdam velit repudiandae libero. Occaecati accusantium dolorem.,jasondeshpande799@gmail.com,7285645.63,6354152.43,pending,2021-03-14
120,Kapadia and Sons,Omnis deleniti officiis blanditiis provident rerum. Dolor doloribus sint esse.,kalamannan21@gmail.com,6503866.07,3641784.71,pending,2022-09-15
121,Gopal and Sons,In consequuntur nemo aliquam dicta officia. Asperiores inventore quisquam iste non.,atharvraman317@gmail.com,6582063.89,2484027.81,rejected,2023-10-01
122,Kannan Inc,Hic molestias aliquid quasi a. Voluptates possimus veritatis accusamus. Nemo reprehenderit voluptate distinctio totam maiores. Itaque inventore nihil mollitia nobis aperiam dolor velit.,pushtisundaram533@gmail.com,3181225.09,337057.54,rejected,2020-07-26
123,Rattan-Hegde,Nostrum a magnam esse labore quo. Ipsum libero corporis odio quod dignissimos quo repellendus.,joshuabora12@gmail.com,7805588.62,5619926.78,approved,2023-12-31
124,Keer Ltd,Minima repellendus veniam maiores blanditiis nobis. Explicabo dolorum perferendis nam. Cumque ipsa alias aliquam consequatur hic illum voluptatum.,onithaman813@gmail.com,2196297.87,182091.06,pending,2022-12-09
